Date,Proj,Timepoint,Pop,Treat,Isol,Orig Label,-2,-3,-4,-5,-6,-7,-8,-9,-10
12/12/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,3,1,0
12/12/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,1,0,0
12/12/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,9,0,0
12/12/2019,125,14,A,L,A,ALA,clr,...,...,too,too,5,1,0,0
12/12/2019,125,14,B,L,A,BLA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,C,L,A,CLA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,D,L,A,DLA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,E,L,A,ELA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,A,G,A,AGA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,B,G,A,BGA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,C,G,A,CGA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,D,G,A,DGA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,E,G,A,EGA,0,0,0,0,0,0,0,0,0
12/12/2019,125,14,A,C,A,ACA,clr,...,...,...,...,too,6,2,0
12/12/2019,125,14,B,C,A,BCA,clr,...,...,...,...,too,5,0,0
12/12/2019,125,14,C,C,A,CCA,clr,...,...,...,...,~28,8,0,0
12/12/2019,125,14,D,C,A,DCA,clr,...,...,...,...,too,5,1,0
12/12/2019,125,14,E,C,A,ECA,clr,...,...,...,...,too,4,0,0
12/13/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,~43,4,3,0
12/13/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,~28,5,2,0
12/13/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,~42,6,1,0
12/13/2019,125,14,A,L,B,ALB,clr,...,...,too,~18,5,0,0,0
12/13/2019,125,14,B,L,B,BLB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,C,L,B,CLB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,D,L,B,DLB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,E,L,B,ELB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,A,G,B,AGB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,B,G,B,BGB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,C,G,B,CGB,clr,...,...,...,too,17,7,0,0
12/13/2019,125,14,D,G,B,DGB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,E,G,B,EGB,0,0,0,0,0,0,0,0,0
12/13/2019,125,14,A,C,B,ACB,clr,...,...,...,...,too,4,0,0
12/13/2019,125,14,B,C,B,BCB,clr,...,...,...,too,~34,2,0,0
12/13/2019,125,14,C,C,B,CCB,clr,...,...,...,too,~24,4,1,0
12/13/2019,125,14,D,C,B,DCB,clr,...,...,...,...,too,3,1,0
12/13/2019,125,14,E,C,B,ECB,clr,...,...,...,...,too,6,0,0
12/14/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,6,1,0
12/14/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,2,0,0
12/14/2019,125,0,Anc,Anc,Anc,P1.1,clr,...,...,...,...,too,6,1,1
12/14/2019,125,14,A,L,C,ALC,clr,...,...,too,17,1,0,0,0
12/14/2019,125,14,B,L,C,BLC,0,0,0,0,0,0,0,0,0
12/14/2019,125,14,C,L,C,CLC,0,0,0,0,0,0,0,0,0
12/14/2019,125,14,D,L,C,DLC,0,0,0,0,0,0,0,0,0
12/14/2019,125,14,E,L,C,ELC,0,0,0,0,0,0,0,0,0
