Entered By,Year,Month,Day,Hour,Minute,Second,Project,Population,Treatment,Isolate,Time,Width (cm),Height (cm)
Mike,2019,10,3,13,51,50,125,Anc,,,,2.04,2.08
Mike,2019,10,3,13,51,50,125,E,L,A,14,2.29,2.4
Mike,2019,10,3,13,51,50,125,C,L,A,14,2.69,2.63
Mike,2019,10,3,13,51,50,125,D,L,A,14,2.34,2.43
Mike,2019,10,3,13,51,50,125,B,L,A,14,2.15,2.24
Mike,2019,10,3,13,51,50,125,A,L,A,14,2.57,2.66
Mike,2019,10,3,13,54,32,125,A,G,A,14,2.46,2.6
Mike,2019,10,3,13,54,32,125,B,G,A,14,2.13,2.13
Mike,2019,10,3,13,54,32,125,C,G,A,14,1.95,1.96
Mike,2019,10,3,13,54,32,125,D,G,A,14,3.06,3.11
Mike,2019,10,3,13,54,32,125,E,G,A,14,2.87,2.89
Mike,2019,10,3,13,57,34,125,A,C,A,14,3.86,3.96
Mike,2019,10,3,13,57,34,125,B,C,A,14,2.62,2.74
Mike,2019,10,3,13,57,34,125,D,C,A,14,2.85,3.02
Mike,2019,10,3,13,57,34,125,C,C,A,14,3.35,3.39
Mike,2019,10,3,13,57,34,125,E,C,A,14,2.7,2.81
Mike,2019,10,9,17,6,16,125,A,L,B,14,3.18,3.24
Mike,2019,10,9,17,6,16,125,B,L,B,14,2.65,2.68
Mike,2019,10,9,17,6,16,125,C,L,B,14,3.45,3.46
Mike,2019,10,9,17,6,16,125,E,L,B,14,2.59,2.74
Mike,2019,10,9,17,6,16,125,D,L,B,14,2.76,2.91
Mike,2019,10,9,17,9,4,125,C,G,B,14,2.3,2.41
Mike,2019,10,9,17,9,4,125,B,G,B,14,2.61,2.66
Mike,2019,10,9,17,9,4,125,D,G,B,14,2.74,2.93
Mike,2019,10,9,17,9,4,125,E,G,B,14,3.4,3.57
Mike,2019,10,9,17,9,4,125,A,G,B,14,3.29,3.3
Mike,2019,10,9,17,14,25,125,B,C,B,14,3.22,3.35
Mike,2019,10,9,17,14,25,125,E,C,B,14,3.45,3.57
Mike,2019,10,9,17,14,25,125,A,C,B,14,4.98,5.16
Mike,2019,10,9,17,14,25,125,D,C,B,14,3.49,3.61
Mike,2019,10,9,17,14,25,125,C,C,B,14,3.76,3.88
Mike,2019,10,9,17,14,25,125,Anc,,,,2.54,2.58
Mike,2019,10,10,17,35,29,125,A,C,C,14,2.38,2.44
Mike,2019,10,10,17,35,29,125,B,C,C,14,1.52,1.57
Mike,2019,10,10,17,35,29,125,E,C,C,14,1.81,1.88
Mike,2019,10,10,17,35,29,125,Anc,,,,1.43,1.53
Mike,2019,10,10,17,35,29,125,C,C,C,14,1.86,1.94
Mike,2019,10,10,17,35,29,125,D,C,C,14,1.84,1.99
Mike,2019,10,10,17,38,36,125,B,G,C,14,1.71,1.78
Mike,2019,10,10,17,38,36,125,D,G,C,14,1.48,1.56
Mike,2019,10,10,17,38,36,125,E,G,C,14,1.78,1.91
Mike,2019,10,10,17,38,36,125,A,G,C,14,1.68,1.76
Mike,2019,10,10,17,38,36,125,C,G,C,14,1.41,1.52
Mike,2019,10,10,17,41,30,125,A,L,C,14,1.74,1.86
Mike,2019,10,10,17,41,30,125,C,L,C,14,1.8,1.86
Mike,2019,10,10,17,41,30,125,E,L,C,14,1.69,1.78
Mike,2019,10,10,17,41,30,125,B,L,C,14,1.5,1.56
Mike,2019,10,10,17,41,30,125,D,L,C,14,1.67,1.86
Mike,2019,10,11,17,26,46,125,A,L,D,14,2.245,2.425
Mike,2019,10,11,17,26,46,125,B,L,D,14,2.08,2.115
Mike,2019,10,11,17,26,46,125,C,L,D,14,2.445,2.61
Mike,2019,10,11,17,26,46,125,D,L,D,14,2.175,2.215
Mike,2019,10,11,17,26,46,125,E,L,D,14,2.035,2.17
Mike,2019,10,11,17,26,46,125,Anc,,,,1.91,2.495
Mike,2019,10,11,17,29,57,125,D,C,D,14,2.57,2.67
Mike,2019,10,11,17,29,57,125,B,C,D,14,2.12,2.27
Mike,2019,10,11,17,29,57,125,A,C,D,14,2.96,2.98
Mike,2019,10,11,17,29,57,125,C,C,D,14,2.91,2.93
Mike,2019,10,11,17,29,57,125,E,C,D,14,2.57,2.65
Mike,2019,10,11,17,33,47,125,E,G,D,14,2.42,2.54
Mike,2019,10,11,17,33,47,125,D,G,D,14,2.69,2.84
Mike,2019,10,11,17,33,47,125,A,G,D,14,2.36,2.51
Mike,2019,10,11,17,33,47,125,B,G,D,14,2.12,2.2
Mike,2019,10,11,17,33,47,125,C,G,D,14,1.96,2.05
Mike,2019,10,15,13,31,44,125,B,L,E,14,2.04,2.09
Mike,2019,10,15,13,31,44,125,Anc,,,,1.69,1.81
Mike,2019,10,15,13,31,44,125,D,L,E,14,2.03,2.06
Mike,2019,10,15,13,31,44,125,E,L,E,14,2.17,2.26
Mike,2019,10,15,13,31,44,125,C,L,E,14,2.18,2.34
Mike,2019,10,15,13,31,44,125,A,L,E,14,2.18,2.26
Mike,2019,10,15,13,34,45,125,C,G,E,14,1.82,1.92
Mike,2019,10,15,13,34,45,125,B,G,E,14,1.95,2.01
Mike,2019,10,15,13,34,45,125,D,G,E,14,2.1,2.18
Mike,2019,10,15,13,34,45,125,E,G,E,14,2.24,2.4
Mike,2019,10,15,13,34,45,125,A,G,E,14,1.79,1.91
Mike,2019,10,15,13,37,43,125,A,C,E,14,2.96,2.9
Mike,2019,10,15,13,37,43,125,D,C,E,14,2.46,2.64
Mike,2019,10,15,13,37,43,125,B,C,E,14,2.03,2.18
Mike,2019,10,15,13,37,43,125,C,C,E,14,2.46,2.66
Mike,2019,10,15,13,37,43,125,E,C,E,14,2.24,2.4
