Entered By,Year,Month,Day,Hour,Minute,Second,Strain,Width (cm),Height (cm)
Sydney,2017,4,19,14,20,14,74_T0_Control,0.64,0.64
Sydney,2017,4,19,14,20,14,74_T0_Global,0.62,0.61
Sydney,2017,4,19,14,20,14,74_T0_Local,0.63,0.62
Sydney,2017,4,20,14,25,8,74_T1_Global,0.66,0.66
Sydney,2017,4,20,14,25,8,74_T1_Control,0.71,0.73
Sydney,2017,4,20,14,25,8,74_T1_Local,0.61,0.63
Sydney,2017,4,20,14,21,13,75_T0_Local_A,0.65,0.66
Sydney,2017,4,20,14,21,13,75_T0_Control_A,0.68,0.69
Sydney,2017,4,20,14,21,13,75_T0_Global_A,0.61,0.62
Sydney,2017,4,20,14,21,13,75_T0_Local_B,0.6,0.58
Sydney,2017,4,20,14,21,13,75_T0_Control_B,0.67,0.68
Sydney,2017,4,20,14,21,13,75_T0_Global_B,0.62,0.61
Sydney,2017,4,21,12,49,2,74_T2_Control,0.58,0.55
Sydney,2017,4,21,12,49,2,74_T2_Local,0.49,0.46
Sydney,2017,4,21,12,49,2,74_T2_Global,0.53,0.52
Sydney,2017,4,21,12,58,42,75_T1_Local_A,0.64,0.62
Sydney,2017,4,21,12,58,42,75_T1_Control_A,0.61,0.61
Sydney,2017,4,21,12,58,42,75_T1_Global_A,0.42,0.42
Sydney,2017,4,21,12,58,42,75_T1_Local_B,0.66,0.63
Sydney,2017,4,21,12,58,42,75_T1_Control_B,0.69,0.66
Sydney,2017,4,21,12,58,42,75_T1_Global_B,0.18,0.18
Sydney,2017,4,21,13,3,46,76_T0_Local_A,0.4,0.39
Sydney,2017,4,21,13,3,46,76_T0_Global_A,0.56,0.55
Sydney,2017,4,21,13,3,46,76_T0_Control_A,0.61,0.63
Sydney,2017,4,21,13,3,46,76_T0_Local_B,0.49,0.49
Sydney,2017,4,21,13,3,46,76_T0_Global_B,0.54,0.51
Sydney,2017,4,21,13,3,46,76_T0_Control_B,0.62,0.64
Sydney,2017,4,22,22,39,41,75_T2_Global_B,1.01,0.98
Sydney,2017,4,22,22,39,41,75_T2_Control_B,1.01,0.99
Sydney,2017,4,22,22,39,41,75_T2_Local_B,0.37,0.35
Sydney,2017,4,22,22,53,14,74_T3_Local,0.61,0.59
Sydney,2017,4,22,22,53,14,74_T3_Global,0.16,0.18
