Year,Month,Day,Hour,Minute,Strain
2017,4,18,14,0,74_T0
2017,4,19,14,25,74_T1
2017,4,19,14,50,75_T0_A
2017,4,19,14,50,75_T0_B
2017,4,20,15,0,74_T2
2017,4,20,15,0,75_T1_A
2017,4,20,15,0,75_T1_B
2017,4,20,15,0,76_T0_A
2017,4,20,15,0,76_T0_B
2017,4,21,20,0,74_T3
2017,4,21,20,0,75_T2_A
2017,4,21,20,0,75_T2_B
2017,4,21,20,0,76_T1_A
2017,4,21,20,0,76_T1_B
2017,4,23,2,0,74_T4
2017,4,23,2,0,75_T3_A
2017,4,23,2,0,75_T3_B
2017,4,23,2,0,76_T2_A
2017,4,23,2,0,76_T2_B
2017,4,23,20,10,74_T5
2017,4,23,20,10,75_T4_A
2017,4,23,20,10,75_T4_B
2017,4,23,20,10,76_T2-2_A
2017,4,23,20,10,76_T2-2_B
2017,4,24,19,25,74_T6
2017,4,24,19,25,75_T5_A
2017,4,24,19,25,75_T5_B
2017,4,24,19,25,76_T3_A
2017,4,24,19,25,76_T2-3_B
2017,4,25,15,20,74_T7
2017,4,25,15,20,75_T6_A
2017,4,25,15,20,75_T6_B
2017,4,25,15,20,76_T4_A
2017,4,25,15,20,76_T3_B
2017,4,26,20,0,74_T8
2017,4,26,20,0,75_T7_A
2017,4,26,20,0,75_T7_B
2017,4,26,20,0,76_T5_A
2017,4,26,20,0,76_T4_B
2017,4,27,18,0,74_T9
2017,4,27,18,0,75_T8_A
2017,4,27,18,0,75_T8_B
2017,4,27,18,0,76_T6_A
2017,4,27,18,0,76_T5_B
2017,4,28,21,10,74_T10
2017,4,28,21,10,75_T9_A
2017,4,28,21,10,75_T9_B
2017,4,28,21,10,76_T7_A
2017,4,28,21,10,76_T6_B
2017,4,29,16,15,74_T11
2017,4,29,16,15,75_T10_A
2017,4,29,16,15,75_T10_B
2017,4,29,16,15,76_T8_A
2017,4,29,16,15,76_T7_B
2017,4,30,17,15,74_T12
2017,4,30,17,15,75_T11_A
2017,4,30,17,15,75_T11_B
2017,4,30,17,15,76_T9_A
2017,4,30,17,15,76_T6-2_B
2017,5,1,16,0,74_T13
2017,5,1,16,0,75_T12_A
2017,5,1,16,0,75_T12_B
2017,5,1,16,0,76_T10_A
2017,5,1,16,0,76_T7-2_B
2017,5,2,18,35,74_T14
2017,5,2,18,35,75_T13_A
2017,5,2,18,35,75_T13_B
2017,5,2,18,35,76_T11_A
2017,5,2,18,35,76_T8_B
2017,5,3,19,5,74_T15
2017,5,3,19,5,75_T14_A
2017,5,3,19,5,75_T14_B
2017,5,3,19,5,76_T12_A
2017,5,3,19,5,76_T9_B
2017,5,4,14,30,74_T16
2017,5,4,14,30,75_T15_A
2017,5,4,14,30,75_T15_B
2017,5,4,14,30,76_T13_A
2017,5,4,14,30,76_T10_B
2017,5,5,17,30,74_T17
2017,5,5,17,30,75_T16_A
2017,5,5,17,30,75_T16_B
2017,5,5,17,30,76_T14_A
2017,5,5,17,30,76_T11_B
2017,5,6,15,0,74_T18
2017,5,6,15,0,75_T17_A
2017,5,6,15,0,75_T17_B
2017,5,6,15,0,76_T15_A
2017,5,6,15,0,76_T12_B
2017,5,7,15,30,74_T19forisol
2017,5,7,15,30,75_T18forisol_A
2017,5,7,15,30,75_T18forisol_B
2017,5,7,15,30,76_T16_A
2017,5,7,15,30,76_T13_B
2017,5,8,16,18,76_T17_A
2017,5,8,16,18,76_T14_B
2017,5,9,16,13,76_T18_A
2017,5,9,16,13,76_T15_B
2017,5,10,16,30,76_T19forisol_A
2017,5,10,16,30,76_T15forisol_B
