Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,28,,,,,,,,,,,,,,0.1063,0.1008,0.1469,0.1105,0.1119,0.1367,0.1069,0.1192,0.1252,0.0901,,,0.1374,0.1234,0.1175,0.15,0.1224,0.1144,0.0999,0.1022,0.1065,0.0978,,,0.1178,0.1219,0.1129,0.0957,0.0798,0.0795,0.1699,0.0988,0.1157,0.0991,,,0.1156,0.1234,0.1299,0.1262,0.0786,0.0796,0.1006,0.1103,0.1169,0.1282,,,0.0897,0.1328,0.1244,0.1152,0.0931,0.0893,0.1064,0.0925,0.1024,0.1068,,,0.0881,0.1236,0.1273,0.1289,0.1013,0.1035,0.1106,0.1015,0.0992,0.1172,,,,,,,,,,,,,
0:15:00,30,,,,,,,,,,,,,,0.1394,0.1053,0.1395,0.1199,0.1256,0.1338,0.1283,0.1423,0.1222,0.1085,,,0.1366,0.1319,0.1176,0.1343,0.117,0.1164,0.1186,0.1314,0.1323,0.1428,,,0.119,0.1252,0.1109,0.0966,0.0796,0.0801,0.1937,0.1226,0.1197,0.1179,,,0.1149,0.1269,0.1277,0.1369,0.0797,0.0797,0.1257,0.139,0.1269,0.1355,,,0.1315,0.137,0.1476,0.1162,0.1092,0.1039,0.1384,0.1245,0.1243,0.1298,,,0.085,0.1285,0.1386,0.1361,0.116,0.1179,0.1356,0.1256,0.1152,0.1381,,,,,,,,,,,,,
0:30:00,30.2,,,,,,,,,,,,,,0.1386,0.1083,0.1388,0.1202,0.1194,0.1303,0.1262,0.1334,0.1259,0.1087,,,0.1362,0.1197,0.1174,0.1309,0.1186,0.115,0.118,0.1272,0.1325,0.1402,,,0.1162,0.1212,0.1131,0.0978,0.079,0.0792,0.1869,0.1225,0.1195,0.1185,,,0.1133,0.1295,0.1298,0.1313,0.0782,0.0797,0.1212,0.1317,0.1281,0.137,,,0.1318,0.1381,0.158,0.1205,0.1095,0.1037,0.1366,0.1243,0.119,0.1248,,,0.0863,0.1268,0.1605,0.1341,0.1165,0.1178,0.1321,0.1246,0.114,0.1351,,,,,,,,,,,,,
0:45:00,30.3,,,,,,,,,,,,,,0.1444,0.1054,0.1387,0.119,0.1171,0.127,0.1229,0.1302,0.1288,0.1089,,,0.1363,0.1188,0.1107,0.1265,0.1169,0.1116,0.1174,0.1207,0.1335,0.1403,,,0.1105,0.1158,0.1161,0.1009,0.0796,0.0795,0.1819,0.1207,0.1203,0.1199,,,0.1118,0.1228,0.1287,0.1273,0.0795,0.0806,0.1164,0.1289,0.1306,0.1389,,,0.1312,0.1372,0.171,0.1232,0.109,0.1019,0.132,0.1233,0.1153,0.1203,,,0.0863,0.1213,0.1607,0.1336,0.1166,0.1166,0.1262,0.119,0.1129,0.1312,,,,,,,,,,,,,
1:00:00,30.4,,,,,,,,,,,,,,0.1376,0.1037,0.1368,0.1177,0.1136,0.1226,0.1176,0.1286,0.1342,0.1115,,,0.1357,0.1183,0.1067,0.1231,0.1158,0.1099,0.1176,0.1187,0.134,0.1382,,,0.1057,0.1128,0.1192,0.1021,0.0798,0.0795,0.183,0.1175,0.1227,0.1216,,,0.1091,0.1154,0.1248,0.1238,0.0787,0.0798,0.1143,0.1561,0.1315,0.1422,,,0.1304,0.1374,0.1685,0.1267,0.1089,0.1013,0.1296,0.1185,0.1135,0.1191,,,0.0874,0.1189,0.1661,0.1369,0.1165,0.1186,0.1231,0.1179,0.1119,0.132,,,,,,,,,,,,,
1:15:00,30.4,,,,,,,,,,,,,,0.1377,0.1036,0.1564,0.117,0.1119,0.1221,0.119,0.1276,0.1394,0.1125,,,0.1377,0.1189,0.1059,0.1204,0.1152,0.109,0.1179,0.1188,0.1337,0.1332,,,0.1051,0.1124,0.123,0.1027,0.0796,0.0791,0.1858,0.1187,0.1267,0.1248,,,0.1136,0.1148,0.1194,0.124,0.0793,0.0805,0.12,0.126,0.1352,0.1467,,,0.1299,0.1375,0.1701,0.1311,0.1095,0.1023,0.1273,0.1179,0.1115,0.1173,,,0.0866,0.117,0.1707,0.1402,0.1146,0.1147,0.1187,0.1155,0.1119,0.1301,,,,,,,,,,,,,
1:30:00,30.4,,,,,,,,,,,,,,0.1382,0.1021,0.1354,0.1168,0.1099,0.1201,0.1149,0.1278,0.1456,0.1169,,,0.1388,0.1204,0.105,0.1183,0.19,0.1094,0.1197,0.1256,0.1343,0.1336,,,0.1058,0.1136,0.1283,0.1062,0.0794,0.0794,0.1896,0.116,0.1295,0.1283,,,0.1075,0.1132,0.1167,0.1237,0.0794,0.0804,0.111,0.123,0.1362,0.1514,,,0.1296,0.1376,0.1795,0.1361,0.1086,0.1004,0.1273,0.1178,0.1134,0.1189,,,0.0857,0.1143,0.1762,0.1443,0.1143,0.1153,0.118,0.1153,0.1117,0.1297,,,,,,,,,,,,,
1:45:00,30.4,,,,,,,,,,,,,,0.1383,0.103,0.1531,0.1165,0.1092,0.1195,0.1191,0.1298,0.1533,0.1213,,,0.1423,0.1232,0.1035,0.122,0.2147,0.1093,0.1187,0.1208,0.1271,0.1329,,,0.106,0.1138,0.135,0.1089,0.0795,0.0796,0.1959,0.1171,0.1362,0.1375,,,0.1235,0.1126,0.1159,0.1237,0.079,0.08,0.1115,0.1766,0.1429,0.151,,,0.1316,0.1392,0.1909,0.1432,0.1092,0.1001,0.1267,0.1197,0.1136,0.1212,,,0.0876,0.1151,0.1861,0.1509,0.117,0.1169,0.1184,0.1143,0.1127,0.1306,,,,,,,,,,,,,
2:00:00,30.4,,,,,,,,,,,,,,0.1404,0.1028,0.133,0.1183,0.1091,0.1193,0.117,0.1308,0.1638,0.13,,,0.1468,0.1259,0.1043,0.1162,0.1577,0.1113,0.1201,0.1214,0.1273,0.133,,,0.1069,0.1157,0.1418,0.1126,0.079,0.0789,0.2057,0.1196,0.1489,0.1437,,,0.1074,0.1124,0.1158,0.1247,0.079,0.0797,0.1119,0.1223,0.144,0.1587,,,0.1317,0.1399,0.205,0.1522,0.1088,0.1021,0.1284,0.1212,0.1106,0.1212,,,0.0872,0.1156,0.1955,0.1587,0.117,0.1168,0.1185,0.116,0.113,0.1336,,,,,,,,,,,,,
2:15:00,30.4,,,,,,,,,,,,,,0.1466,0.1028,0.1343,0.1193,0.1095,0.1192,0.1172,0.1342,0.1752,0.1339,,,0.1544,0.1288,0.1035,0.1173,0.1226,0.1128,0.1133,0.1243,0.1305,0.1327,,,0.1089,0.1186,0.1496,0.1175,0.0786,0.0791,0.221,0.1252,0.1586,0.1506,,,0.128,0.1148,0.1172,0.1271,0.0796,0.0807,0.114,0.1244,0.1502,0.1636,,,0.1356,0.1446,0.2246,0.1632,0.1099,0.103,0.1293,0.121,0.1116,0.1211,,,0.0878,0.1167,0.209,0.1683,0.1199,0.1206,0.1207,0.1173,0.114,0.147,,,,,,,,,,,,,
2:30:00,30.4,,,,,,,,,,,,,,0.1507,0.1038,0.1399,0.1199,0.1112,0.1222,0.1192,0.1379,0.1903,0.1391,,,0.1635,0.1357,0.1074,0.12,0.1358,0.1166,0.123,0.1269,0.1323,0.1357,,,0.111,0.1225,0.1595,0.1235,0.0793,0.0795,0.2421,0.1292,0.1698,0.1622,,,0.11,0.1162,0.1206,0.1305,0.0793,0.0802,0.1148,0.1257,0.16,0.1901,,,0.1416,0.1508,0.2456,0.1755,0.1112,0.1035,0.1341,0.1331,0.1136,0.1216,,,0.0883,0.1189,0.2254,0.178,0.1233,0.1237,0.1237,0.117,0.1178,0.1437,,,,,,,,,,,,,
2:45:00,30.4,,,,,,,,,,,,,,0.1602,0.1054,0.1462,0.1259,0.1127,0.1259,0.1226,0.1452,0.2064,0.1492,,,0.1721,0.1436,0.11,0.1262,0.132,0.1205,0.1423,0.1272,0.1353,0.1397,,,0.1154,0.1277,0.1714,0.1313,0.0802,0.0801,0.2725,0.1381,0.186,0.1732,,,0.1138,0.1218,0.1214,0.135,0.0791,0.0802,0.1205,0.1343,0.1747,0.1913,,,0.1465,0.1525,0.2682,0.1914,0.1128,0.104,0.137,0.1224,0.1181,0.1225,,,0.0896,0.1233,0.2438,0.1922,0.1292,0.1303,0.1286,0.1228,0.1233,0.1595,,,,,,,,,,,,,
3:00:00,30.4,,,,,,,,,,,,,,0.1667,0.109,0.1504,0.1291,0.1178,0.1321,0.1307,0.1593,0.2271,0.1612,,,0.1926,0.1595,0.113,0.1289,0.1623,0.1264,0.1294,0.1337,0.1375,0.1503,,,0.1188,0.131,0.1843,0.1407,0.0794,0.0798,0.3112,0.1469,0.2108,0.1882,,,0.1212,0.1219,0.1286,0.1438,0.079,0.0806,0.126,0.1456,0.1859,0.2017,,,0.1529,0.1634,0.2917,0.211,0.1173,0.135,0.1409,0.1299,0.1201,0.1265,,,0.0917,0.1308,0.2659,0.2081,0.1375,0.1363,0.1343,0.1262,0.2324,0.1747,,,,,,,,,,,,,
