Time,Temperature(C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,26.7,,,,,,,,,,,,,,0.0979,0.0946,0.0991,0.1045,0.1002,0.0992,0.0897,0.0924,0.0942,0.0919,,,0.1007,0.0962,0.0988,0.0966,0.1492,0.0906,0.3048,0.0933,0.0823,0.0904,,,0.0996,0.1043,0.0932,0.0927,0.0811,0.0799,0.0903,0.0954,0.0927,0.0926,,,0.1017,0.1029,0.0993,0.0948,0.0822,0.0875,0.0887,0.0925,0.0916,0.0871,,,0.099,0.102,0.1002,0.0964,0.09,0.0882,0.0989,0.0948,0.0977,0.0979,,,0.1026,0.1019,0.0937,0.0935,0.0941,0.0936,0.0938,0.0999,0.0961,0.1043,,,,,,,,,,,,,
0:15:00,30,,,,,,,,,,,,,,0.0964,0.0958,0.1053,0.1054,0.1025,0.1005,0.0978,0.1015,0.0985,0.0978,,,0.1032,0.0964,0.0947,0.0939,0.1975,0.0939,0.1032,0.1067,0.088,0.0968,,,0.0976,0.1007,0.0918,0.0927,0.0814,0.0796,0.0977,0.1005,0.0969,0.0968,,,0.0992,0.1064,0.0985,0.0936,0.0814,0.0885,0.1008,0.1011,0.098,0.0947,,,0.1002,0.103,0.1007,0.0983,0.0965,0.0957,0.109,0.1086,0.1043,0.1044,,,0.1017,0.0991,0.0943,0.0932,0.0977,0.1006,0.0992,0.1074,0.0982,0.0975,,,,,,,,,,,,,
0:30:00,30,,,,,,,,,,,,,,0.0969,0.0972,0.1048,0.1067,0.1029,0.0999,0.0991,0.1014,0.0994,0.0982,,,0.1069,0.102,0.0982,0.096,0.2012,0.0956,0.1036,0.108,0.0902,0.0976,,,0.0987,0.1017,0.0931,0.0957,0.0817,0.0811,0.0984,0.1015,0.098,0.0985,,,0.1025,0.1048,0.098,0.0955,0.0811,0.0885,0.1018,0.1024,0.1003,0.0964,,,0.1011,0.1041,0.1046,0.101,0.098,0.0977,0.11,0.1118,0.1054,0.1051,,,0.1034,0.1002,0.0955,0.0949,0.1004,0.1029,0.0988,0.1056,0.0985,0.0991,,,,,,,,,,,,,
0:45:00,30,,,,,,,,,,,,,,0.0988,0.0985,0.1058,0.1073,0.1027,0.0991,0.1004,0.1022,0.1015,0.0994,,,0.1111,0.1063,0.0986,0.0967,0.1254,0.1008,0.1051,0.1091,0.0914,0.098,,,0.0993,0.1021,0.094,0.0949,0.081,0.0804,0.0986,0.1013,0.0993,0.0998,,,0.1009,0.1059,0.0986,0.0974,0.0816,0.0904,0.1036,0.104,0.103,0.0991,,,0.1016,0.1048,0.1056,0.1007,0.1,0.0991,0.112,0.1143,0.106,0.1057,,,0.1027,0.0995,0.0986,0.0972,0.1041,0.1074,0.0998,0.1057,0.1007,0.0995,,,,,,,,,,,,,
1:00:00,30,,,,,,,,,,,,,,0.1012,0.1,0.1069,0.1085,0.1026,0.0991,0.1017,0.1051,0.1027,0.1016,,,0.1159,0.1127,0.0995,0.0976,0.1162,0.0963,0.1075,0.1105,0.0932,0.0996,,,0.1012,0.1031,0.096,0.098,0.0804,0.0807,0.1016,0.1035,0.1022,0.1028,,,0.1013,0.1057,0.0972,0.0974,0.082,0.0896,0.1043,0.1048,0.106,0.1024,,,0.1025,0.1046,0.1061,0.1023,0.1022,0.1012,0.1133,0.1135,0.1074,0.1068,,,0.104,0.0998,0.1018,0.1018,0.1102,0.1134,0.1013,0.1063,0.1038,0.1025,,,,,,,,,,,,,
1:15:00,30,,,,,,,,,,,,,,0.1019,0.1017,0.1086,0.1102,0.1026,0.0987,0.1011,0.1055,0.1055,0.1041,,,0.1224,0.1149,0.0998,0.0966,0.1046,0.0965,0.1093,0.1124,0.095,0.1012,,,0.1016,0.1053,0.0988,0.1003,0.0816,0.0805,0.1077,0.1063,0.1056,0.1067,,,0.1012,0.1075,0.0989,0.0975,0.0819,0.0915,0.1059,0.1043,0.1097,0.106,,,0.1042,0.1056,0.1085,0.1062,0.1044,0.104,0.1154,0.1145,0.1058,0.1058,,,0.103,0.099,0.1054,0.1044,0.1162,0.1195,0.0985,0.105,0.1052,0.104,,,,,,,,,,,,,
1:30:00,30,,,,,,,,,,,,,,0.1031,0.103,0.1102,0.1114,0.1029,0.0998,0.1024,0.109,0.1085,0.1073,,,0.1309,0.124,0.1004,0.0966,0.1078,0.0962,0.11,0.1142,0.0969,0.1032,,,0.1022,0.1047,0.1008,0.1028,0.0802,0.0802,0.1082,0.1098,0.1117,0.1126,,,0.1028,0.1089,0.0984,0.0971,0.0821,0.0908,0.1038,0.1039,0.1113,0.1102,,,0.1048,0.1084,0.1123,0.1085,0.1055,0.106,0.1144,0.1169,0.105,0.106,,,0.1035,0.0998,0.1082,0.1074,0.1235,0.1271,0.0988,0.1049,0.1032,0.1018,,,,,,,,,,,,,
1:45:00,30,,,,,,,,,,,,,,0.1047,0.1053,0.1116,0.1135,0.1043,0.1018,0.1044,0.1111,0.1122,0.1103,,,0.1379,0.128,0.0984,0.0964,0.1321,0.0958,0.1064,0.1107,0.0947,0.103,,,0.1061,0.1072,0.1045,0.1057,0.081,0.0799,0.1111,0.1144,0.118,0.118,,,0.1037,0.1109,0.1,0.0969,0.0821,0.0907,0.1037,0.1036,0.1146,0.1137,,,0.1059,0.1117,0.1179,0.1142,0.1064,0.1097,0.1175,0.1229,0.1069,0.1083,,,0.1052,0.1021,0.1085,0.1092,0.1338,0.1371,0.0995,0.1073,0.1068,0.1022,,,,,,,,,,,,,
2:00:00,30,,,,,,,,,,,,,,0.1058,0.1068,0.1157,0.117,0.1062,0.1027,0.1069,0.1118,0.1141,0.1134,,,0.1431,0.1368,0.099,0.0983,0.1099,0.0964,0.1071,0.1162,0.0948,0.1003,,,0.109,0.1103,0.1064,0.1066,0.0813,0.0804,0.118,0.1195,0.1241,0.1233,,,0.1058,0.1141,0.1002,0.0987,0.082,0.0907,0.104,0.1042,0.1201,0.1186,,,0.11,0.1152,0.1238,0.1194,0.1098,0.1129,0.1209,0.1244,0.1104,0.1082,,,0.1083,0.1051,0.1124,0.1132,0.1456,0.1471,0.1008,0.1084,0.104,0.1033,,,,,,,,,,,,,
2:15:00,30,,,,,,,,,,,,,,0.1094,0.1113,0.1212,0.121,0.1086,0.1059,0.1083,0.1145,0.1188,0.1162,,,0.1518,0.1457,0.1026,0.0989,0.1278,0.0973,0.1101,0.1168,0.0951,0.101,,,0.1111,0.1116,0.1101,0.1099,0.0802,0.0801,0.123,0.1237,0.1273,0.1295,,,0.1096,0.119,0.1038,0.0995,0.0822,0.0915,0.1057,0.1055,0.1245,0.1233,,,0.1143,0.1202,0.1317,0.1268,0.1138,0.1182,0.1245,0.1307,0.1116,0.1114,,,0.1092,0.1069,0.1165,0.1149,0.156,0.1581,0.1016,0.109,0.1068,0.1056,,,,,,,,,,,,,
