Time,Temperature(C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,30.6,,,,,,,,,,,,,,0.1264,0.1223,0.1307,0.1244,0.1143,0.1119,0.1012,0.1031,0.1087,0.1071,,,0.1191,0.1262,0.1209,0.1151,0.1021,0.1061,0.099,0.0991,0.102,0.1,,,0.1231,0.1323,0.1048,0.108,0.0803,0.0803,0.0963,0.0981,0.1006,0.1049,,,0.1216,0.1269,0.1184,0.1135,0.0792,0.0787,0.0982,0.0988,0.0981,0.1001,,,0.1163,0.1178,0.1127,0.1146,0.107,0.1028,0.101,0.1106,0.1024,0.0983,,,0.1331,0.116,0.1219,0.1133,0.1153,0.1172,0.1091,0.1081,0.0958,0.0959,,,,,,,,,,,,,
0:15:00,30.3,,,,,,,,,,,,,,0.1248,0.1243,0.1315,0.1305,0.117,0.1138,0.1349,0.1386,0.1155,0.1134,,,0.1272,0.1264,0.1183,0.1173,0.1046,0.1072,0.13,0.1271,0.1292,0.1306,,,0.1182,0.1372,0.1022,0.1001,0.0797,0.0805,0.1204,0.1181,0.1143,0.1182,,,0.1286,0.1287,0.1244,0.12,0.079,0.0789,0.1274,0.1302,0.121,0.1195,,,0.1249,0.1237,0.1278,0.1192,0.1291,0.1268,0.1422,0.1437,0.1249,0.1225,,,0.1308,0.1218,0.1201,0.1167,0.1293,0.1337,0.1367,0.1337,0.1136,0.1139,,,,,,,,,,,,,
0:30:00,30.5,,,,,,,,,,,,,,0.1216,0.1256,0.131,0.1288,0.1153,0.1172,0.1364,0.1379,0.1169,0.1146,,,0.1298,0.1275,0.1147,0.1115,0.1039,0.1086,0.1293,0.1277,0.1279,0.1297,,,0.1201,0.1361,0.1052,0.1037,0.0801,0.0801,0.1221,0.1212,0.1172,0.1214,,,0.1309,0.1267,0.1245,0.1209,0.0795,0.0789,0.1321,0.1312,0.1256,0.1241,,,0.1253,0.1216,0.1248,0.1222,0.1304,0.1289,0.1424,0.1432,0.1203,0.1204,,,0.1324,0.119,0.1228,0.1196,0.1349,0.1417,0.1308,0.1298,0.1127,0.1332,,,,,,,,,,,,,
0:45:00,30.6,,,,,,,,,,,,,,0.1211,0.126,0.1314,0.1276,0.1159,0.1158,0.1305,0.1347,0.1174,0.1154,,,0.1296,0.1278,0.1117,0.1088,0.1012,0.1058,0.1261,0.1238,0.125,0.1275,,,0.1164,0.1316,0.1063,0.1054,0.0793,0.0795,0.1214,0.1208,0.1164,0.1201,,,0.1279,0.1232,0.1267,0.1217,0.0795,0.0789,0.1238,0.1238,0.129,0.1277,,,0.1257,0.1219,0.1291,0.1265,0.13,0.1281,0.1367,0.1424,0.1189,0.1173,,,0.1295,0.1171,0.1255,0.1217,0.1364,0.1455,0.1237,0.1272,0.1122,0.1113,,,,,,,,,,,,,
1:00:00,30.7,,,,,,,,,,,,,,0.1205,0.1254,0.1313,0.1265,0.1157,0.1145,0.1272,0.1323,0.1204,0.1171,,,0.1327,0.1317,0.11,0.1068,0.1027,0.1048,0.1236,0.1241,0.1224,0.1264,,,0.1251,0.13,0.1101,0.1083,0.0791,0.0797,0.1199,0.1196,0.1198,0.1237,,,0.1265,0.1211,0.1264,0.1218,0.079,0.0794,0.1177,0.1209,0.1314,0.1301,,,0.1266,0.1215,0.1337,0.1292,0.1269,0.127,0.1342,0.1405,0.1187,0.1155,,,0.1371,0.1179,0.1258,0.1241,0.1432,0.1489,0.1234,0.1218,0.1122,0.1089,,,,,,,,,,,,,
1:15:00,30.7,,,,,,,,,,,,,,0.1209,0.1255,0.1398,0.1272,0.1151,0.1134,0.1236,0.1299,0.1236,0.1215,,,0.138,0.1369,0.1085,0.1062,0.102,0.1057,0.1234,0.1187,0.1189,0.1249,,,0.1201,0.1304,0.1132,0.1135,0.08,0.0803,0.1165,0.12,0.1255,0.1273,,,0.1218,0.12,0.1237,0.1206,0.0794,0.0787,0.1188,0.1171,0.135,0.1333,,,0.1276,0.1215,0.1379,0.1388,0.1259,0.1222,0.137,0.139,0.1194,0.1156,,,0.1283,0.1154,0.1253,0.1252,0.1472,0.155,0.1207,0.1223,0.1113,0.1139,,,,,,,,,,,,,
1:30:00,30.7,,,,,,,,,,,,,,0.1275,0.1269,0.1604,0.1256,0.1165,0.1139,0.1257,0.1298,0.1302,0.127,,,0.1432,0.1425,0.1086,0.1059,0.1026,0.1059,0.1216,0.1188,0.1195,0.1223,,,0.1158,0.1317,0.1175,0.1162,0.0795,0.0794,0.1177,0.116,0.1269,0.1348,,,0.1209,0.1189,0.1217,0.1166,0.0792,0.0793,0.1195,0.1183,0.1383,0.1358,,,0.1298,0.1231,0.1455,0.1416,0.1238,0.123,0.1334,0.137,0.1198,0.1163,,,0.1271,0.1154,0.1313,0.1245,0.1542,0.1623,0.12,0.1215,0.1143,0.1209,,,,,,,,,,,,,
1:45:00,30.7,,,,,,,,,,,,,,0.1222,0.1271,0.1988,0.127,0.117,0.1157,0.1276,0.1313,0.1354,0.1315,,,0.1501,0.1493,0.1078,0.1064,0.1032,0.1063,0.1217,0.1195,0.1213,0.1259,,,0.1181,0.1343,0.123,0.1227,0.08,0.0795,0.1202,0.119,0.1339,0.1425,,,0.122,0.1206,0.1174,0.1137,0.0798,0.0795,0.1191,0.1186,0.142,0.1402,,,0.1332,0.1253,0.1541,0.1507,0.1239,0.1235,0.1324,0.1359,0.1198,0.1188,,,0.1273,0.1148,0.1329,0.1268,0.1633,0.1711,0.1196,0.1207,0.1131,0.1187,,,,,,,,,,,,,
2:00:00,30.7,,,,,,,,,,,,,,0.1262,0.1284,0.213,0.1295,0.1187,0.1176,0.1285,0.1325,0.1429,0.1396,,,0.1591,0.1588,0.1089,0.107,0.1057,0.1091,0.1236,0.1202,0.1194,0.1224,,,0.1297,0.1381,0.1311,0.1284,0.0799,0.0798,0.1234,0.1224,0.143,0.1525,,,0.1238,0.1215,0.1186,0.1145,0.0799,0.0792,0.1187,0.1178,0.1467,0.1442,,,0.1388,0.1294,0.165,0.1616,0.1245,0.125,0.1357,0.1358,0.1208,0.1198,,,0.129,0.1158,0.1371,0.1296,0.1606,0.1688,0.1197,0.1205,0.1139,0.1155,,,,,,,,,,,,,
2:15:00,30.7,,,,,,,,,,,,,,0.1374,0.133,0.1875,0.1325,0.122,0.1194,0.1306,0.135,0.1505,0.1467,,,0.1705,0.1711,0.1099,0.109,0.1102,0.1132,0.1224,0.1226,0.1206,0.1234,,,0.1238,0.1432,0.1377,0.1358,0.0801,0.0799,0.129,0.1281,0.1556,0.1627,,,0.1263,0.1252,0.1208,0.1152,0.0794,0.0796,0.1197,0.12,0.1523,0.1499,,,0.1441,0.1353,0.1782,0.1748,0.1272,0.1292,0.134,0.136,0.1225,0.1213,,,0.1699,0.1202,0.1404,0.1359,0.1683,0.181,0.1211,0.1216,0.1166,0.1163,,,,,,,,,,,,,
